Name,Group,y,x
Mikkeli,10,61.6877269,27.27322437
Muhos,17,64.80891858,25.99005002
Multia,13,62.4086975,24.79462133
Muonio,19,67.95927533,23.67722326
Mustasaari,15,63.1140541,21.68074516
Muurame,13,62.13050888,25.67356508
Mynämäki,2,60.67873279,21.98750659
Myrskylä,1,60.67043966,25.85210217
Mäntsälä,1,60.63608498,25.32020469
Mänttä-Vilppula,6,62.03694871,24.55309551
Mäntyharju,10,61.41828094,26.87535565
Naantali,2,60.46770925,22.01822472
Nakkila,4,61.36690219,22.00407589
Nivala,17,63.92963779,24.95394376
Nokia,6,61.47877377,23.5084994
Nousiainen,2,60.59911483,22.08218037
Nurmes,12,63.54426631,29.13299557
Nurmijärvi,1,60.46080612,24.80736923
Närpiö,15,62.47329348,21.33671831
Orimattila,7,60.80402214,25.73428856
Oripää,2,60.85635031,22.69741126
Orivesi,6,61.67740715,24.35738941
Oulainen,17,64.26657017,24.81623198
Oulu,17,65.01378482,25.47209907
Outokumpu,12,62.72602446,29.0154234
Padasjoki,7,61.35140846,25.27761076
Paimio,2,60.45541066,22.69114686
Paltamo,18,64.40944726,27.83216294
Parainen,2,60.29912491,22.3023017
Parikkala,9,61.55512963,29.50106581
Parkano,6,62.0106234,23.02104105
Pedersören kunta,15,63.60123347,22.7912893
Pelkosenniemi,19,67.10919205,27.51287853
Pello,19,66.7755835,23.96347775
Perho,16,63.21527451,24.42316304
Pertunmaa,10,61.50309406,26.47798784
Petäjävesi,13,62.25666376,25.18360651
Pieksämäki,10,62.29859083,27.15548191
Pielavesi,11,63.23234857,26.75560607
Pietarsaari,15,63.67522173,22.70293174
Pihtipudas,13,63.3703344,25.57461423
Pirkkala,6,61.46524896,23.64548323
Polvijärvi,12,62.85682699,29.36960256
Pomarkku,4,61.69484675,22.01045371
Pori,4,61.4837263,21.79590011
Pornainen,1,60.47689845,25.37293237
Porvoo,1,60.39537194,25.66655954
Posio,19,66.10973699,28.17390642
Pudasjärvi,17,65.36094712,26.99924354
Pukkila,1,60.64535285,25.58040756
Punkalaidun,6,61.11327293,23.10054219
Puolanka,18,64.86865877,27.66907112
Puumala,10,61.52185533,28.17997176
Pyhtää,8,60.49221049,26.54488002
Pyhäjoki,17,64.46516356,24.25919718
Pyhäjärvi,17,63.68183545,25.98577566
Pyhäntä,17,64.09946034,26.32997786
Pyhäranta,2,60.94826649,21.44093453
Pälkäne,6,61.33682118,24.27040923
Pöytyä,2,60.72136936,22.59953768
